ParticipantID,Gender,Accuracy,Phase,Entity,EntityNum,Percentage_B1,Percentage_B2,Percentage_Avg
P406,M,0,3,Member_Variable,0,0,NA,0
P406,M,0,3,Comment,1,0.09,NA,0.045
P406,M,0,3,Class_Signature,2,0,NA,0
P406,M,0,3,Method_Body,3,0.85,NA,0.425
P406,M,0,3,Method_Signature,4,0.06,NA,0.03
P408,M,0,1,Member_Variable,0,0.01,0.01,0.01
P408,M,0,1,Comment,1,0.44,0.45,0.445
P408,M,0,1,Class_Signature,2,0,0,0
P408,M,0,1,Method_Body,3,0.49,0.5,0.495
P408,M,0,1,Method_Signature,4,0.06,0.04,0.05
P408,M,0,2,Member_Variable,0,NA,0,0
P408,M,0,2,Comment,1,NA,0.51,0.255
P408,M,0,2,Class_Signature,2,NA,0,0
P408,M,0,2,Method_Body,3,NA,0.48,0.24
P408,M,0,2,Method_Signature,4,NA,0.01,0.005
P408,M,0,3,Member_Variable,0,NA,NA,0
P408,M,0,3,Comment,1,NA,NA,0
P408,M,0,3,Class_Signature,2,NA,NA,0
P408,M,0,3,Method_Body,3,NA,NA,0
P408,M,0,3,Method_Signature,4,NA,NA,0
P409,F,0,1,Member_Variable,0,NA,0.25,0.125
P409,F,0,1,Comment,1,NA,0.18,0.09
P409,F,0,1,Class_Signature,2,NA,0,0
P409,F,0,1,Method_Body,3,NA,0.56,0.28
P409,F,0,1,Method_Signature,4,0,0.01,0.005
P409,F,0,2,Member_Variable,0,0.1,0.01,0.01
P409,F,0,2,Comment,1,0.09,0.33,0.21
P409,F,0,2,Class_Signature,2,0,0,0
P409,F,0,2,Method_Body,3,0.8,0.64,0.765
P409,F,0,2,Method_Signature,4,0.01,0.02,0.015
P409,F,0,3,Member_Variable,0,0.06,NA,0.03
P409,F,0,3,Comment,1,0.2,NA,0.1
P409,F,0,3,Class_Signature,2,0,NA,0
P409,F,0,3,Method_Body,3,0.71,NA,0.355
P409,F,0,3,Method_Signature,4,0.03,NA,0.015
